customer_id,age,gender,income_bracket,marital_status,num_dependents,avg_purchase_value,purchase_frequency,last_purchase_days_ago,preferred_payment_method,num_categories_purchased,loyalty_program_member,avg_basket_size,refund_count,complaints_last_year,weekday_shopper,email_open_rate,sms_response,ad_clicks_last_month,coupon_used,last_campaign_response_days,campaign_channel,discount_sensitivity,newsletter_subscription,targeted_ads_viewed,campaign_conversion_rate,avg_session_duration,pages_per_session,bounce_rate,mobile_user,app_user,desktop_user,avg_click_depth,search_queries_per_month,product_views_last_week,time_on_product_page,scroll_depth_percent,exit_rate,session_count_last_month,logged_in_sessions,guest_sessions,preferred_language,account_creation_method,browser_response_time,agreed_to_terms,social_media_engagement_score,referral_code_used,customer_feedback_score,offline_event_participation,target
CUST_000000,56,Female,Medium,Married,1,104.96,11,12,Digital Wallet,2,Yes,1.7,0,0,No,0.09,No,0,Yes,36,SMS,0.35,Subscribed,4,0.408,2.12,3.6,0.36,Yes,Yes,No,1.6,7,68,45.03,28.1,0.29,6,8,1,Portuguese,Facebook,4843,True,,NO,1.415655666500709,nan,0
CUST_000001,69,Male,High,Divorced,1,135.17,8,229,Digital Wallet,9,No,4.7,1,0,Yes,0.48,No,1,No,287,App,0.62,Unsubscribed,5,0.353,4.98,2.2,0.37,Yes,No,Yes,1.3,9,93,24.31,22.8,0.47,7,3,3,Portuguese,Apple,3656,True,,nan,,nan,0
CUST_000002,46,Female,Medium,Married,1,157.23,14,52,Digital Wallet,3,Yes,3.8,2,0,Yes,0.67,No,4,No,268,SMS,0.32,Unsubscribed,1,0.094,6.95,5.1,0.74,Yes,Yes,No,2.0,5,1,35.17,58.5,0.36,3,6,1,Other,Apple,3541,True,,nan,4.715803608996908,nan,0
CUST_000003,32,Male,High,Married,0,228.13,11,235,Cash,11,Yes,3.6,0,1,Yes,0.93,No,2,No,201,SMS,0.42,Subscribed,5,0.247,3.89,2.7,0.81,No,Yes,No,2.7,7,23,32.83,77.2,0.24,5,9,1,English,Facebook,4439,True,59.405647163912136,NO,,nan,0
CUST_000004,60,Female,Medium,Widowed,3,197.68,11,149,Card,6,No,3.0,0,1,Yes,0.82,No,0,Yes,136,SMS,0.52,Subscribed,4,0.422,8.87,4.7,0.16,No,No,No,2.5,4,70,28.8,28.9,0.12,5,6,2,English,Facebook,1968,True,,nan,,nan,0
CUST_000005,25,Male,Low,Widowed,1,234.67,9,82,Cash,6,Yes,5.8,2,0,Yes,0.04,No,2,Yes,241,Website,0.72,Unsubscribed,3,0.358,2.53,4.7,0.47,No,No,No,1.8,4,49,34.6,33.0,0.48,9,6,1,Portuguese,Facebook,3343,True,,NO,,nan,0
CUST_000006,78,Male,Low,Widowed,2,264.16,11,65,Cash,1,No,2.7,1,0,Yes,0.66,Yes,1,No,18,Email,0.25,Subscribed,6,0.13,3.88,3.7,0.59,No,Yes,Yes,3.5,6,61,53.36,41.4,0.11,7,7,5,Portuguese,Facebook,2506,True,51.278404031672856,nan,,Yes,1
CUST_000007,38,Male,High,Single,1,126.09,17,312,Digital Wallet,3,Yes,3.8,1,0,Yes,0.41,No,1,Yes,150,Website,0.49,Subscribed,0,0.095,5.02,3.6,0.52,No,Yes,Yes,3.5,4,10,27.01,37.1,0.21,10,3,1,Spanish,Google,4762,False,,nan,,nan,0
CUST_000008,56,Male,Medium,Married,3,232.68,12,51,Card,5,Yes,3.0,1,0,No,0.74,No,5,No,17,Email,0.2,Subscribed,7,0.42,4.39,4.0,0.69,Yes,Yes,No,0.9,10,37,56.7,36.4,0.5,8,10,1,Other,Apple,3933,False,,nan,,nan,1
CUST_000009,75,Male,High,Divorced,3,241.87,5,46,Cash,6,No,3.4,0,1,Yes,0.14,Yes,1,No,242,Email,0.42,Subscribed,4,0.279,6.44,4.2,0.81,No,No,No,2.3,7,43,59.37,25.0,0.44,5,6,0,Spanish,Apple,3051,False,,nan,,nan,1
